NAME,YEAR,TOTAL_VISITORS_YEAR,Problem_With_Counter,MONTH,MONTH_NUMBER,VISITOR_COUNT
Albany Park  ,2013,421,False,JAN,1,0
Albany Park  ,2013,421,False,FEB,2,0
Albany Park  ,2013,421,False,MAR,3,0
Albany Park  ,2013,421,False,APR,4,0
Albany Park  ,2013,421,False,MAY,5,0
Albany Park  ,2013,421,False,JUN,6,0
Albany Park  ,2013,421,False,JUL,7,0
Albany Park  ,2013,421,False,AUG,8,74
Albany Park  ,2013,421,False,SEP,9,105
Albany Park  ,2013,421,False,OCT,10,117
Albany Park  ,2013,421,False,NOV,11,89
Albany Park  ,2013,421,False,DEC,12,36
Altgeld  ,2013,63052,False,JAN,1,5741
Altgeld  ,2013,63052,False,FEB,2,4014
Altgeld  ,2013,63052,False,MAR,3,5301
Altgeld  ,2013,63052,False,APR,4,5668
Altgeld  ,2013,63052,False,MAY,5,5176
Altgeld  ,2013,63052,False,JUN,6,5142
Altgeld  ,2013,63052,False,JUL,7,5276
Altgeld  ,2013,63052,False,AUG,8,6104
Altgeld  ,2013,63052,False,SEP,9,5219
Altgeld  ,2013,63052,False,OCT,10,5228
Altgeld  ,2013,63052,False,NOV,11,5277
Altgeld  ,2013,63052,False,DEC,12,4906
Archer Heights,2013,110419,True,JAN,1,9744
Archer Heights,2013,110419,True,FEB,2,7994
Archer Heights,2013,110419,True,MAR,3,9405
Archer Heights,2013,110419,True,APR,4,9712
Archer Heights,2013,110419,True,MAY,5,8054
Archer Heights,2013,110419,True,JUN,6,8470
Archer Heights,2013,110419,True,JUL,7,10180
Archer Heights,2013,110419,True,AUG,8,9768
Archer Heights,2013,110419,True,SEP,9,9347
Archer Heights,2013,110419,True,OCT,10,10915
Archer Heights,2013,110419,True,NOV,11,9448
Archer Heights,2013,110419,True,DEC,12,7382
Austin ,2013,89762,False,JAN,1,6977
Austin ,2013,89762,False,FEB,2,5146
Austin ,2013,89762,False,MAR,3,7208
Austin ,2013,89762,False,APR,4,8120
Austin ,2013,89762,False,MAY,5,7495
Austin ,2013,89762,False,JUN,6,8600
Austin ,2013,89762,False,JUL,7,9219
Austin ,2013,89762,False,AUG,8,7883
Austin ,2013,89762,False,SEP,9,8052
Austin ,2013,89762,False,OCT,10,7920
Austin ,2013,89762,False,NOV,11,7429
Austin ,2013,89762,False,DEC,12,5713
Austin-Irving  ,2013,126397,False,JAN,1,10501
Austin-Irving  ,2013,126397,False,FEB,2,9760
Austin-Irving  ,2013,126397,False,MAR,3,10781
Austin-Irving  ,2013,126397,False,APR,4,10977
Austin-Irving  ,2013,126397,False,MAY,5,10542
Austin-Irving  ,2013,126397,False,JUN,6,10172
Austin-Irving  ,2013,126397,False,JUL,7,12077
Austin-Irving  ,2013,126397,False,AUG,8,11090
Austin-Irving  ,2013,126397,False,SEP,9,10710
Austin-Irving  ,2013,126397,False,OCT,10,11275
Austin-Irving  ,2013,126397,False,NOV,11,10448
Austin-Irving  ,2013,126397,False,DEC,12,8064
Avalon,2013,124050,True,JAN,1,10903
Avalon,2013,124050,True,FEB,2,8801
Avalon,2013,124050,True,MAR,3,9864
Avalon,2013,124050,True,APR,4,11433
Avalon,2013,124050,True,MAY,5,11864
Avalon,2013,124050,True,JUN,6,11495
Avalon,2013,124050,True,JUL,7,12639
Avalon,2013,124050,True,AUG,8,12746
Avalon,2013,124050,True,SEP,9,11460
Avalon,2013,124050,True,OCT,10,11817
Avalon,2013,124050,True,NOV,11,5994
Avalon,2013,124050,True,DEC,12,5034
Back of the Yards,2013,23759,False,JAN,1,0
Back of the Yards,2013,23759,False,FEB,2,0
Back of the Yards,2013,23759,False,MAR,3,0
Back of the Yards,2013,23759,False,APR,4,0
Back of the Yards,2013,23759,False,MAY,5,0
Back of the Yards,2013,23759,False,JUN,6,0
Back of the Yards,2013,23759,False,JUL,7,0
Back of the Yards,2013,23759,False,AUG,8,0
Back of the Yards,2013,23759,False,SEP,9,6273
Back of the Yards,2013,23759,False,OCT,10,6984
Back of the Yards,2013,23759,False,NOV,11,5860
Back of the Yards,2013,23759,False,DEC,12,4642
Beverly,2013,102975,True,JAN,1,8380
Beverly,2013,102975,True,FEB,2,6961
Beverly,2013,102975,True,MAR,3,8314
Beverly,2013,102975,True,APR,4,8949
Beverly,2013,102975,True,MAY,5,7719
Beverly,2013,102975,True,JUN,6,8835
Beverly,2013,102975,True,JUL,7,10792
Beverly,2013,102975,True,AUG,8,9391
Beverly,2013,102975,True,SEP,9,9071
Beverly,2013,102975,True,OCT,10,10016
Beverly,2013,102975,True,NOV,11,8073
Beverly,2013,102975,True,DEC,12,6474
Bezazian ,2013,175006,False,JAN,1,14615
Bezazian ,2013,175006,False,FEB,2,12971
Bezazian ,2013,175006,False,MAR,3,15317
Bezazian ,2013,175006,False,APR,4,15310
Bezazian ,2013,175006,False,MAY,5,15801
Bezazian ,2013,175006,False,JUN,6,14648
Bezazian ,2013,175006,False,JUL,7,16781
Bezazian ,2013,175006,False,AUG,8,15559
Bezazian ,2013,175006,False,SEP,9,13767
Bezazian ,2013,175006,False,OCT,10,15129
Bezazian ,2013,175006,False,NOV,11,13110
Bezazian ,2013,175006,False,DEC,12,11998
Blackstone ,2013,139554,False,JAN,1,12761
Blackstone ,2013,139554,False,FEB,2,9941
Blackstone ,2013,139554,False,MAR,3,11334
Blackstone ,2013,139554,False,APR,4,11870
Blackstone ,2013,139554,False,MAY,5,11166
Blackstone ,2013,139554,False,JUN,6,12764
Blackstone ,2013,139554,False,JUL,7,13032
Blackstone ,2013,139554,False,AUG,8,11882
Blackstone ,2013,139554,False,SEP,9,10636
Blackstone ,2013,139554,False,OCT,10,12695
Blackstone ,2013,139554,False,NOV,11,10725
Blackstone ,2013,139554,False,DEC,12,10748
Brainerd,2013,56516,True,JAN,1,4619
Brainerd,2013,56516,True,FEB,2,3894
Brainerd,2013,56516,True,MAR,3,4810
Brainerd,2013,56516,True,APR,4,4486
Brainerd,2013,56516,True,MAY,5,4178
Brainerd,2013,56516,True,JUN,6,5410
Brainerd,2013,56516,True,JUL,7,5750
Brainerd,2013,56516,True,AUG,8,5683
Brainerd,2013,56516,True,SEP,9,4431
Brainerd,2013,56516,True,OCT,10,5227
Brainerd,2013,56516,True,NOV,11,4581
Brainerd,2013,56516,True,DEC,12,3447
Brighton Park ,2013,82572,False,JAN,1,6671
Brighton Park ,2013,82572,False,FEB,2,5422
Brighton Park ,2013,82572,False,MAR,3,6994
Brighton Park ,2013,82572,False,APR,4,6762
Brighton Park ,2013,82572,False,MAY,5,5907
Brighton Park ,2013,82572,False,JUN,6,6709
Brighton Park ,2013,82572,False,JUL,7,8506
Brighton Park ,2013,82572,False,AUG,8,7868
Brighton Park ,2013,82572,False,SEP,9,7088
Brighton Park ,2013,82572,False,OCT,10,8443
Brighton Park ,2013,82572,False,NOV,11,6682
Brighton Park ,2013,82572,False,DEC,12,5520
Bucktown-Wicker Park ,2013,135970,False,JAN,1,12243
Bucktown-Wicker Park ,2013,135970,False,FEB,2,10423
Bucktown-Wicker Park ,2013,135970,False,MAR,3,11827
Bucktown-Wicker Park ,2013,135970,False,APR,4,12031
Bucktown-Wicker Park ,2013,135970,False,MAY,5,10395
Bucktown-Wicker Park ,2013,135970,False,JUN,6,11446
Bucktown-Wicker Park ,2013,135970,False,JUL,7,12809
Bucktown-Wicker Park ,2013,135970,False,AUG,8,12121
Bucktown-Wicker Park ,2013,135970,False,SEP,9,10794
Bucktown-Wicker Park ,2013,135970,False,OCT,10,11509
Bucktown-Wicker Park ,2013,135970,False,NOV,11,10784
Bucktown-Wicker Park ,2013,135970,False,DEC,12,9588
Budlong Woods,2013,173389,True,JAN,1,14030
Budlong Woods,2013,173389,True,FEB,2,12823
Budlong Woods,2013,173389,True,MAR,3,14232
Budlong Woods,2013,173389,True,APR,4,15835
Budlong Woods,2013,173389,True,MAY,5,14540
Budlong Woods,2013,173389,True,JUN,6,15241
Budlong Woods,2013,173389,True,JUL,7,17212
Budlong Woods,2013,173389,True,AUG,8,14970
Budlong Woods,2013,173389,True,SEP,9,13069
Budlong Woods,2013,173389,True,OCT,10,15732
Budlong Woods,2013,173389,True,NOV,11,14051
Budlong Woods,2013,173389,True,DEC,12,11654
Canaryville ,2013,54427,False,JAN,1,4662
Canaryville ,2013,54427,False,FEB,2,3829
Canaryville ,2013,54427,False,MAR,3,4542
Canaryville ,2013,54427,False,APR,4,4783
Canaryville ,2013,54427,False,MAY,5,4431
Canaryville ,2013,54427,False,JUN,6,5290
Canaryville ,2013,54427,False,JUL,7,5259
Canaryville ,2013,54427,False,AUG,8,4758
Canaryville ,2013,54427,False,SEP,9,4424
Canaryville ,2013,54427,False,OCT,10,4724
Canaryville ,2013,54427,False,NOV,11,4002
Canaryville ,2013,54427,False,DEC,12,3723
Chicago Bee,2013,57931,True,JAN,1,4846
Chicago Bee,2013,57931,True,FEB,2,4262
Chicago Bee,2013,57931,True,MAR,3,4271
Chicago Bee,2013,57931,True,APR,4,4674
Chicago Bee,2013,57931,True,MAY,5,5146
Chicago Bee,2013,57931,True,JUN,6,4418
Chicago Bee,2013,57931,True,JUL,7,4668
Chicago Bee,2013,57931,True,AUG,8,4704
Chicago Bee,2013,57931,True,SEP,9,5848
Chicago Bee,2013,57931,True,OCT,10,6040
Chicago Bee,2013,57931,True,NOV,11,4837
Chicago Bee,2013,57931,True,DEC,12,4217
Chicago Lawn  ,2013,87997,False,JAN,1,7277
Chicago Lawn  ,2013,87997,False,FEB,2,5762
Chicago Lawn  ,2013,87997,False,MAR,3,6780
Chicago Lawn  ,2013,87997,False,APR,4,7146
Chicago Lawn  ,2013,87997,False,MAY,5,6349
Chicago Lawn  ,2013,87997,False,JUN,6,6977
Chicago Lawn  ,2013,87997,False,JUL,7,8746
Chicago Lawn  ,2013,87997,False,AUG,8,9168
Chicago Lawn  ,2013,87997,False,SEP,9,7400
Chicago Lawn  ,2013,87997,False,OCT,10,8765
